video_id,lang,text,timecode
GAib4Ae3lDY,English,,0:00 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:01 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:02 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:03 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:04 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:05 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:06 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:07 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:08 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:09 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:10 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:11 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:12 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:13 / 11:12
GAib4Ae3lDY,English,oh happy day oh happy day oh happy day oh happy day when bts wins the bts win when bts,0:14 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:14 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:15 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:16 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:17 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:18 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:19 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:20 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:21 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:22 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:23 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:24 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:25 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:26 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:27 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:28 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:29 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:30 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:31 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:32 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:33 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:34 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:35 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:36 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:37 / 11:12
GAib4Ae3lDY,English,here we go we are standing up today guys because man this is the bbma's bts butter baby oh,0:38 / 11:12
GAib4Ae3lDY,English,yes that sounds sexy oh it really is my brothers because you know when bts does a performance,0:39 / 11:12
GAib4Ae3lDY,English,yes that sounds sexy oh it really is my brothers because you know when bts does a performance,0:40 / 11:12
GAib4Ae3lDY,English,yes that sounds sexy oh it really is my brothers because you know when bts does a performance,0:41 / 11:12
GAib4Ae3lDY,English,yes that sounds sexy oh it really is my brothers because you know when bts does a performance,0:42 / 11:12
GAib4Ae3lDY,English,yes that sounds sexy oh it really is my brothers because you know when bts does a performance,0:43 / 11:12
GAib4Ae3lDY,English,yes that sounds sexy oh it really is my brothers because you know when bts does a performance,0:44 / 11:12
GAib4Ae3lDY,English,yes that sounds sexy oh it really is my brothers because you know when bts does a performance,0:45 / 11:12
GAib4Ae3lDY,English,right it is off the rip smooth ass butter on pancakes and waffles who's ready for some,0:45 / 11:12
GAib4Ae3lDY,English,right it is off the rip smooth ass butter on pancakes and waffles who's ready for some,0:46 / 11:12
GAib4Ae3lDY,English,right it is off the rip smooth ass butter on pancakes and waffles who's ready for some,0:47 / 11:12
GAib4Ae3lDY,English,right it is off the rip smooth ass butter on pancakes and waffles who's ready for some,0:48 / 11:12
GAib4Ae3lDY,English,right it is off the rip smooth ass butter on pancakes and waffles who's ready for some,0:49 / 11:12
GAib4Ae3lDY,English,right it is off the rip smooth ass butter on pancakes and waffles who's ready for some,0:50 / 11:12
GAib4Ae3lDY,English,right it is off the rip smooth ass butter on pancakes and waffles who's ready for some,0:51 / 11:12
GAib4Ae3lDY,English,right it is off the rip smooth ass butter on pancakes and waffles who's ready for some,0:52 / 11:12
GAib4Ae3lDY,English,butter can i get a come on shamon lee come on,0:53 / 11:12
GAib4Ae3lDY,English,butter can i get a come on shamon lee come on,0:54 / 11:12
GAib4Ae3lDY,English,butter can i get a come on shamon lee come on,0:55 / 11:12
GAib4Ae3lDY,English,butter can i get a come on shamon lee come on,0:56 / 11:12
GAib4Ae3lDY,English,butter can i get a come on shamon lee come on,0:57 / 11:12
GAib4Ae3lDY,English,oh man okay,0:58 / 11:12
GAib4Ae3lDY,English,oh man okay,0:59 / 11:12
GAib4Ae3lDY,English,oh man okay,1:00 / 11:12
GAib4Ae3lDY,English,oh man okay,1:01 / 11:12
GAib4Ae3lDY,English,oh man okay,1:02 / 11:12
GAib4Ae3lDY,English,oh man okay,1:03 / 11:12
GAib4Ae3lDY,English,oh man okay,1:04 / 11:12
GAib4Ae3lDY,English,oh man okay,1:05 / 11:12
GAib4Ae3lDY,English,oh man okay,1:06 / 11:12
GAib4Ae3lDY,English,oh man okay,1:07 / 11:12
GAib4Ae3lDY,English,oh we got jk in the mirror here nice haircut nice haircut yeah yeah got the jean fit on,1:08 / 11:12
GAib4Ae3lDY,English,oh we got jk in the mirror here nice haircut nice haircut yeah yeah got the jean fit on,1:09 / 11:12
GAib4Ae3lDY,English,oh we got jk in the mirror here nice haircut nice haircut yeah yeah got the jean fit on,1:10 / 11:12
GAib4Ae3lDY,English,oh we got jk in the mirror here nice haircut nice haircut yeah yeah got the jean fit on,1:11 / 11:12
GAib4Ae3lDY,English,oh we got jk in the mirror here nice haircut nice haircut yeah yeah got the jean fit on,1:12 / 11:12
GAib4Ae3lDY,English,oh we got jk in the mirror here nice haircut nice haircut yeah yeah got the jean fit on,1:13 / 11:12
GAib4Ae3lDY,English,oh we got jk in the mirror here nice haircut nice haircut yeah yeah got the jean fit on,1:14 / 11:12
GAib4Ae3lDY,English,oh oh that was fast yeah wish i can dress like that they got that ultra instinct yeah,1:15 / 11:12
GAib4Ae3lDY,English,oh oh that was fast yeah wish i can dress like that they got that ultra instinct yeah,1:16 / 11:12
GAib4Ae3lDY,English,oh oh that was fast yeah wish i can dress like that they got that ultra instinct yeah,1:17 / 11:12
GAib4Ae3lDY,English,oh oh that was fast yeah wish i can dress like that they got that ultra instinct yeah,1:18 / 11:12
GAib4Ae3lDY,English,oh oh that was fast yeah wish i can dress like that they got that ultra instinct yeah,1:19 / 11:12
GAib4Ae3lDY,English,oh oh that was fast yeah wish i can dress like that they got that ultra instinct yeah,1:20 / 11:12
GAib4Ae3lDY,English,oh oh that was fast yeah wish i can dress like that they got that ultra instinct yeah,1:21 / 11:12
GAib4Ae3lDY,English,oh oh that was fast yeah wish i can dress like that they got that ultra instinct yeah,1:22 / 11:12
GAib4Ae3lDY,English,oh oh that was fast yeah wish i can dress like that they got that ultra instinct yeah,1:23 / 11:12
GAib4Ae3lDY,English,right all right,1:24 / 11:12
GAib4Ae3lDY,English,right all right,1:25 / 11:12
GAib4Ae3lDY,English,right all right,1:26 / 11:12
GAib4Ae3lDY,English,right all right,1:27 / 11:12
GAib4Ae3lDY,English,i like the walk i like the walk man what that reminds you of michael jackson yeah and you're,1:27 / 11:12
GAib4Ae3lDY,English,i like the walk i like the walk man what that reminds you of michael jackson yeah and you're,1:28 / 11:12
GAib4Ae3lDY,English,i like the walk i like the walk man what that reminds you of michael jackson yeah and you're,1:29 / 11:12
GAib4Ae3lDY,English,i like the walk i like the walk man what that reminds you of michael jackson yeah and you're,1:30 / 11:12
GAib4Ae3lDY,English,i like the walk i like the walk man what that reminds you of michael jackson yeah and you're,1:31 / 11:12
GAib4Ae3lDY,English,i like the walk i like the walk man what that reminds you of michael jackson yeah and you're,1:32 / 11:12
